Version	GMID-X v 1.0
Kit type:	MICROSATELLITE
Chemistry Kit	AmpFLSTR_Identifiler_Plus_v1X	null
Panel	Identifiler_Plus_Panels_v1X	null
D8S1179	blue	118.0	183.5	13	4	none	8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 
D21S11	blue	184.5	247.5	30	4	none	24, 24.2, 25, 26, 27, 28, 28.2, 29, 29.2, 30, 30.2, 31, 31.2, 32, 32.2, 33, 33.2, 34, 34.2, 35, 35.2, 36, 37, 38, 
D7S820	blue	251.0	298.5	10,11	4	none	6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 
CSF1PO	blue	302.12	348.63	10,12	4	none	6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 
D3S1358	green	98.0	148.0	14,15	4	none	12, 13, 14, 15, 16, 17, 18, 19, 
TH01	green	159.0	205.0	8,9.3	4	none	4, 5, 6, 7, 8, 9, 9.3, 10, 11, 13.3, 
D13S317	green	205.65	250.16	11	4	none	8, 9, 10, 11, 12, 13, 14, 15, 
D16S539	green	255.3	301.81	11,12	4	none	5, 8, 9, 10, 11, 12, 13, 14, 15, 
D2S1338	green	304.8	370.31	19,23	4	none	15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 
D19S433	yellow	101.0	148.0	14,15	4	none	9, 10, 11, 12, 12.2, 13, 13.2, 14, 14.2, 15, 15.2, 16, 16.2, 17, 17.2, 
vWA	yellow	151.0	213.5	17,18	4	none	11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 
TPOX	yellow	216.99	260.99	8	4	none	6, 7, 8, 9, 10, 11, 12, 13, 
D18S51	yellow	264.49	350.0	15,19	4	none	7, 9, 10, 10.2, 11, 12, 13, 13.2, 14, 14.2, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 
AMEL	red	106.0	114.0	x	9	none	X, Y, 
D5S818	red	128.0	180.0	11	4	none	7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 
FGA	red	206.25	360.0	23,24	4	none	17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 26.2, 27, 28, 29, 30, 30.2, 31.2, 32.2, 33.2, 42.2, 43.2, 44.2, 45.2, 46.2, 47.2, 48.2, 50.2, 51.2, 
